step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,-0.03241332620382309,0.0034896758843248,1.6256626844406128,1.5656626858468305,-1.3475265502929688,-1.3499404203744068,-0.05034249648451805,0.00313363169323236,-0.05028407648205757,0.009715923347684953,0.05307319015264511,-0.0069268081905315875
1,0.02,policy,False,0.027,-0.06509112566709518,0.003425652819835787,1.6856626272201538,1.5657781909091297,-1.3450983762741089,-1.3499437742404672,-0.03077763132750988,0.002920372704838091,-0.09987113624811172,0.00947865268349128,0.029520215466618538,-0.006655167877496844
2,0.04,policy,False,0.027,-0.09806296229362488,0.003212210023780709,1.7344586849212646,1.5663285608847382,-1.360846996307373,-1.349980706920912,-0.023061245679855347,0.0026802246046475956,-0.03987113758921623,0.008705541297494438,-0.009013848379254341,-0.006337834545789747
3,0.06,policy,False,0.027,-0.07452835887670517,0.002602974100564314,1.7630316019058228,1.567862447652962,-1.3772953748703003,-1.3505882108509482,0.007939113304018974,0.0025094786740808995,-0.05486811697483063,0.007985601907000107,0.01707584410905838,-0.0062261893938093775
4,0.08,policy,False,0.027,-0.028748568147420883,0.0016116547096510078,1.7505756616592407,1.5709293041673422,-1.3846514225006104,-1.352389127844821,0.006185897160321474,0.002478722626077017,-0.09125940501689911,0.007460355269585947,-0.0035126693546772003,-0.006102040680811126
5,0.1,policy,False,0.027,0.0035950392484664917,0.0006386610092043908,1.7021178007125854,1.575593067006933,-1.393606185913086,-1.3554349118496989,-0.00432489113882184,0.0025093231788678072,-0.07644757628440857,0.006818480406562336,-0.0219139251857996,-0.006020906488624239
6,0.12,policy,False,0.027,-0.0012934007681906223,7.647383695001451e-05,1.6536338329315186,1.5812594817114745,-1.402559518814087,-1.3592100886186163,-0.023816896602511406,0.0025023706720361614,-0.06064325571060181,0.006173536372252028,-0.009105389937758446,-0.006066116619530272
7,0.14,policy,False,0.027,-0.023208802565932274,-9.672566038995646e-05,1.6151999235153198,1.58712104175902,-1.4077129364013672,-1.3629939053046356,-0.03082219325006008,0.0023930447117597436,-0.061716970056295395,0.005634063879550961,0.005546881817281246,-0.006105872712374074
8,0.16,policy,False,0.027,-0.05108577758073807,-0.0001890579388126409,1.5888898372650146,1.5924812562699695,-1.4183228015899658,-1.3661160093110853,-0.0329960435628891,0.0022091392244044266,-0.05882865935564041,0.0051499195488445915,0.00595893757417798,-0.006057462578253439
9,0.18,policy,False,0.027,-0.07735005021095276,-0.0003304836467353076,1.5802022218704224,1.5969155686968952,-1.4363640546798706,-1.3682354892940065,-0.028027493506669998,0.0019934097246520786,-0.06434470415115356,0.0047223949553675945,0.012178050354123116,-0.005972449497351891
10,0.2,policy,False,0.027,-0.07141273468732834,-0.0006776324169750294,1.586766242980957,1.6003837118010213,-1.4601646661758423,-1.3694946365497047,-0.011356957256793976,0.0017840744509567139,-0.08653178811073303,0.004358399083781009,0.01314994040876627,-0.005861940027543506
11,0.22,policy,False,0.027,-0.03601071238517761,-0.0012945398947788727,1.6049084663391113,1.6032072327071067,-1.4874900579452515,-1.3704619967832121,-0.006268438417464495,0.0016419201670914696,-0.10635238885879517,0.004005253172512331,0.01269321795552969,-0.005743003957595035
12,0.24,policy,False,0.027,-0.014316830784082413,-0.0019336746027715736,1.6243271827697754,1.6059515427917177,-1.5064141750335693,-1.372002409093071,-0.016683027148246765,0.0015469686308591983,-0.1208927184343338,0.003646008709498665,0.009640753269195557,-0.005633837972238036
13,0.26,policy,False,0.027,-0.030430493876338005,-0.002306842586596596,1.6341395378112793,1.6091509612435928,-1.5067801475524902,-1.374879676682913,-0.03266039490699768,0.0014192301312535736,-0.11905209720134735,0.003268233244843206,0.007015124894678593,-0.005547036292188102
14,0.28,policy,False,0.027,-0.051004208624362946,-0.002474217217474247,1.6334236860275269,1.6129680480481656,-1.488570213317871,-1.3792774555913012,-0.03658311069011688,0.001208261965933071,-0.10422129929065704,0.0028659978917747343,0.004982754588127136,-0.005479786551632959
15,0.3,policy,False,0.027,-0.0648617297410965,-0.0026297833850438563,1.6287795305252075,1.617091547636619,-1.4626497030258179,-1.3846564692512753,-0.040883179754018784,0.0009541403657854729,-0.0716247633099556,0.0024348860290283117,-2.6159454137086868e-05,-0.005421310946806986
16,0.32,policy,False,0.027,-0.057126548141241074,-0.0028839847003666124,1.6253854036331177,1.6209440980356764,-1.4382978677749634,-1.390081193291384,-0.04020256549119949,0.0006847780857254396,-0.04178677499294281,0.0020241566491465486,0.0012128892121836543,-0.00537802172446712
17,0.34,policy,False,0.027,-0.03809870406985283,-0.0032556315208688022,1.6249512434005737,1.6239662408931055,-1.424219012260437,-1.3946244470029059,-0.04228544235229492,0.00042186234438959167,-0.01725054532289505,0.0016653703495856191,0.003220344427973032,-0.0053293089880584055
18,0.36,policy,False,0.027,-0.033806219696998596,-0.0036087796092904956,1.6294885873794556,1.6258219758949795,-1.4232687950134277,-1.3977012975620913,-0.04722275212407112,0.00016116179421162658,-0.0014440696686506271,0.001382951347974387,0.007949337363243103,-0.005261653525406177
19,0.38,policy,False,0.027,-0.04681840538978577,-0.0038409468072041772,1.6374958753585815,1.6265192922774607,-1.4320666790008545,-1.399257815477609,-0.047632716596126556,-0.00011971629622157955,-0.0028442167676985264,0.0011983981242917985,0.013239959254860878,-0.005165693429002656
20,0.4,policy,False,0.027,-0.06110601872205734,-0.004012509754345681,1.6404398679733276,1.6266518213075742,-1.4450101852416992,-1.399976769389451,-0.04543060064315796,-0.00041483101594452006,-0.013845643028616905,0.001079456704664341,0.00986754335463047,-0.005037700672319834
21,0.42,policy,False,0.027,-0.0622335821390152,-0.00423411068320567,1.6339027881622314,1.6266979279434417,-1.4602954387664795,-1.400482773774224,-0.042963482439517975,-0.0007067423002268185,-0.025818191468715668,0.0009762794658502432,0.009855466894805431,-0.004916678147948226
22,0.44,policy,False,0.027,-0.04818102717399597,-0.0045576825988405505,1.6164876222610474,1.6267573870667391,-1.4747450351715088,-1.4010440943311704,-0.04182035103440285,-0.0009889925643398498,-0.038585446774959564,0.0008719596231886075,0.007533031981438398,-0.004809575121305155
