step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,-0.061606649309396744,-0.00160665102998952,1.6275715827941895,1.5675716926086658,-1.308125376701355,-1.3400997093570601,-0.015014007687568665,0.009852634410528579,-0.05748127028346062,0.0007759183074279489,0.04582752287387848,-0.006288827236988413
1,0.02,policy,False,0.027,-0.12160664796829224,-0.0017143077290010132,1.6875715255737305,1.5676757628371423,-1.2740646600723267,-1.3400679511734794,-0.006696264259517193,0.009753690326307443,-0.064041368663311,0.0005307760818140314,0.031494248658418655,-0.006052998738619326
2,0.04,policy,False,0.027,-0.18160665035247803,-0.0023077435964075767,1.7475714683532715,1.5681425014861265,-1.243772268295288,-1.3400101987040292,-0.009090824984014034,0.009645872818466695,-0.06455744057893753,5.627532615915863e-05,0.003035660833120346,-0.0057455552028940725
3,0.06,policy,False,0.027,-0.24160665273666382,-0.00397576729034747,1.8075714111328125,1.5693560523203125,-1.2312699556350708,-1.3399502129870207,0.006606831215322018,0.009555609183511574,-0.06452132761478424,-0.0005926761252904003,-0.030003804713487625,-0.005570855377414381
4,0.08,policy,False,0.027,-0.208584725856781,-0.007274635059346779,1.8446353673934937,1.5717659972268916,-1.2277147769927979,-1.3399061117591895,0.04989171773195267,0.009535823023474315,-0.004521328955888748,-0.0017635574968190779,-0.07763740420341492,-0.005605994136581571
5,0.1,policy,False,0.027,-0.14858472347259521,-0.012189918261514778,1.8667644262313843,1.5755558087772106,-1.2480405569076538,-1.3399088719499814,0.0728767141699791,0.009737183017688493,-0.05582224577665329,-0.002732578335469648,-0.04049324616789818,-0.0059303144570479445
6,0.12,policy,False,0.027,-0.08858472108840942,-0.01809455466337694,1.831563949584961,1.580998658268074,-1.2826389074325562,-1.3399439131159583,0.0990913063287735,0.010123949338669627,0.004177752882242203,-0.0042342225402356125,-0.078290656208992,-0.0062156987408967645
7,0.14,policy,False,0.027,-0.02858472242951393,-0.02426487001644709,1.7946101427078247,1.58797491477792,-1.3161576986312866,-1.340320966516781,0.0715644583106041,0.010676408971754184,-0.05582224577665329,-0.005311657302960584,-0.040712013840675354,-0.006595574365727858
8,0.16,policy,False,0.027,0.03141527622938156,-0.030017208357011563,1.7371667623519897,1.5961049328532686,-1.349951148033142,-1.3409345724832358,0.04809791222214699,0.011170781264545624,-0.10059426724910736,-0.005975024281000868,-0.044849298894405365,-0.006896165679018101
9,0.18,policy,False,0.027,0.09141527116298676,-0.03471376937343571,1.6771668195724487,1.6049836557782013,-1.3738800287246704,-1.3416173107602287,0.030824895948171616,0.011506255085631075,-0.06353406608104706,-0.006812796094801525,-0.060030050575733185,-0.007145614411669526
