t_ns,phase,tau_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1779590904989285469,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,-0.037,0.003,0.0,0.0,0.0,-0.19372499999999998,0.3591,0.31185,-0.0670908,-0.06134016,0.0
1779590904989285469,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,-0.037,0.003,0.0,0.0,0.0,-0.19372499999999998,0.3591,0.31185,-0.0670908,-0.06134016,0.0
1779590904994286537,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,0.024,-0.002,0.0,0.0,0.0,-0.19372499999999998,0.1512,0.44415,-0.07379988,-0.06804924000000001,0.01533504
1779590904994286537,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,0.024,-0.002,0.0,0.0,0.0,-0.19372499999999998,0.1512,0.44415,-0.07379988,-0.06804924000000001,0.01533504
1779590905004287004,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,0.024,-0.002,0.0,0.0,0.0,-0.19372499999999998,0.3591,0.44415,-0.06804924000000001,-0.06038172,0.01150128
1779590905004287004,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,0.024,-0.002,0.0,0.0,0.0,-0.19372499999999998,0.3591,0.44415,-0.06804924000000001,-0.06038172,0.01150128
1779590905004287004,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,0.024,-0.002,0.0,0.0,0.0,-0.19372499999999998,0.3591,0.44415,-0.06804924000000001,-0.06038172,0.01150128
1779590905009294986,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,-0.08,-0.026000000000000002,0.0,0.0,0.0,-0.17955,0.6945749999999999,0.4961249999999999,-0.07379988,-0.06804924000000001,0.01054284
1779590905009294986,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,-0.08,-0.026000000000000002,0.0,0.0,0.0,-0.17955,0.6945749999999999,0.4961249999999999,-0.07379988,-0.06804924000000001,0.01054284
1779590905014289379,step,0.0,0.0,1.4538243603262366,-2.9134083071840546,-0.08698720991939739,-0.01806415775814131,0.0,0.0,-0.08,-0.026000000000000002,0.0,0.0,0.0,-0.17955,0.6945749999999999,0.4961249999999999,-0.07379988,-0.06804924000000001,0.01054284
